clean_name,Voto,Fantavoto,Giornata
masini,5.5,5.5,3
colombo,5.0,5.0,3
ekuban,7.0,10.0,3
vieira p,6.0,5.5,3
sommer,5.0,1.0,3
dimarco,6.5,7.5,3
acerbi,6.0,5.5,3
bastoni,5.5,5.5,3
akanji,6.0,6.0,3
dumfries,6.0,6.0,3
carlos augusto,6.5,7.5,3
zielinski,6.0,7.0,3
barella,5.5,5.5,3
calhanoglu,7.5,13.5,3
mkhitaryan,5.5,5.0,3
martinez l,5.0,5.0,3
thuram,7.0,10.0,3
bonny,5.5,5.5,3
chivu,5.0,5.0,3
di gregorio,6.0,3.0,3
bremer,7.5,9.5,3
kalulu,5.5,5.5,3
gatti,6.0,6.0,3
cabal,5.5,5.5,3
kelly l,7.0,10.0,3
locatelli,6.5,6.0,3
mckennie,6.0,6.0,3
thuram k,7.0,10.0,3
koopmeiners,5.0,4.5,3
adzic,7.5,10.5,3
vlahovic,5.0,5.0,3
david,6.5,7.5,3
openda,6.0,6.0,3
yildiz,7.0,11.0,3
tudor,6.5,6.5,3
provedel,6.0,5.0,3
romagnoli,5.5,5.5,3
marusic,6.0,5.5,3
tavares n,5.5,5.5,3
gila,6.5,6.5,3
cataldi,6.0,6.0,3
zaccagni,6.5,6.5,3
guendouzi,5.5,5.5,3
rovella,6.0,5.5,3
belahyane,5.5,5.0,3
dele-bashiru,5.5,5.5,3
pedro,6.0,6.0,3
cancellieri,5.5,5.5,3
dia,5.5,5.5,3
castellanos,5.5,5.5,3
sarri,5.5,5.5,3
falcone,5.5,1.5,3
gallo,4.5,4.5,3
gaspar k,4.5,4.5,3
veiga d,6.0,6.0,3
kouassi,5.5,5.5,3
siebert,4.0,4.0,3
sottil,5.5,5.5,3
coulibaly l,5.5,5.5,3
ramadani,5.0,5.0,3
pierotti,5.5,5.5,3
tete morente,5.0,5.0,3
sala a,5.5,5.5,3
camarda,5.5,5.5,3
ndri,7.0,10.0,3
stulic,5.5,5.5,3
di francesco,4.5,4.5,3
terracciano,6.0,6.0,3
maignan,6.0,6.0,3
gabbia,6.5,6.5,3
tomori,6.0,5.5,3
pavlovic,6.0,6.0,3
estupinan,6.0,5.5,3
de winter,6.0,6.0,3
rabiot,6.5,6.5,3
pulisic,7.0,7.0,3
modric,7.5,10.5,3
loftus-cheek,6.5,6.5,3
fofana y,6.0,6.0,3
saelemaekers,6.5,7.0,3
ricci s,6.5,6.5,3
gimenez,5.0,5.0,3
allegri,6.5,5.5,3
milinkovic-savic v,5.5,4.5,3
spinazzola,6.5,7.5,3
buongiorno,6.0,6.0,3
di lorenzo,6.5,6.5,3
olivera,6.0,6.0,3
beukema,7.0,10.0,3
politano,6.5,6.5,3
de bruyne,7.0,10.0,3
zambo anguissa,6.5,7.5,3
lobotka,6.0,6.0,3
elmas,6.0,6.0,3
mctominay,6.5,6.5,3
neres,6.0,6.0,3
hojlund,7.0,10.0,3
lucca,6.0,6.0,3
conte,7.0,7.0,3
suzuki,5.0,3.0,3
valeri,6.0,6.0,3
circati,6.0,6.0,3
delprato,5.5,5.5,3
lovik,6.0,6.0,3
ndiaye,5.5,5.5,3
oristanio,6.0,6.0,3
bernabè,6.5,6.5,3
ordonez c,5.5,5.0,3
sorensen o,5.5,5.5,3
cutrone,5.0,5.0,3
almqvist,5.5,5.5,3
pellegrino m,5.5,5.5,3
cuesta,5.5,5.5,3
semper,6.0,5.0,3
caracciolo a,5.5,5.0,3
mateus lusuardi,6.0,6.0,3
bonfanti,6.5,6.5,3
canestrelli,5.0,5.0,3
angori,5.5,5.5,3
leris,6.0,6.0,3
tramoni m,5.5,5.5,3
aebischer,5.0,5.0,3
akinsanmiro,6.0,6.0,3
tourè i,6.5,6.5,3
nzola,6.0,6.0,3
moreo,5.5,5.5,3
meister,6.0,6.0,3
gilardino,5.0,5.0,3
svilar,6.5,5.5,3
mancini,6.0,6.0,3
ndicka,6.0,6.0,3
angelino,5.5,5.0,3
hermoso,6.0,6.0,3
wesley,5.0,4.5,3
cristante,6.0,6.0,3
el shaarawy,6.0,6.0,3
konè m,5.5,5.5,3
baldanzi,5.5,5.5,3
pisilli,5.5,5.5,3
el aynaoui,6.0,6.0,3
dybala,5.5,5.5,3
soulè,6.5,6.5,3
ferguson e,5.5,5.5,3
gasperini,5.0,5.0,3
muric,7.0,7.0,3
walukiewicz,6.5,6.5,3
doig,6.0,5.5,3
coulibaly w,6.0,6.0,3
idzes,6.5,6.5,3
muharemovic,6.5,7.0,3
matic,6.0,5.5,3
vranckx,5.5,5.0,3
volpato,6.0,5.5,3
konè i,5.5,5.5,3
fadera,7.0,10.0,3
berardi,6.5,6.5,3
pinamonti,6.0,5.5,3
laurientè,6.0,6.0,3
grosso,7.0,7.0,3
israel,6.0,6.0,3
biraghi,6.0,6.0,3
lazaro,6.0,6.0,3
maripan,7.0,7.0,3
ismajli,6.0,5.5,3
coco,6.5,6.5,3
ilic,6.0,6.0,3
vlasic,6.5,6.5,3
asllani,6.5,6.0,3
casadei,6.0,6.0,3
simeone,7.5,10.5,3
ngonge,6.0,7.0,3
adams c,6.0,6.0,3
aboukhlal,6.5,6.0,3
baroni,6.5,6.5,3
sava,5.5,5.5,3
kamara h,6.5,6.0,3
bertola,6.0,6.0,3
ehizibue,5.5,5.5,3
zemura,6.0,6.0,3
kristensen t,7.0,7.0,3
goglichidze,6.0,6.0,3
solet,6.5,6.5,3
zaniolo,5.5,5.5,3
zarraga,6.0,6.0,3
karlstrom,6.0,5.5,3
atta,7.0,7.0,3
piotrowski,6.5,6.5,3
davis k,6.0,6.0,3
bravo,7.0,10.0,3
buksa,6.0,6.0,3
runjaic,7.0,7.0,3
montipò,6.0,6.0,3
bradaric,6.5,6.5,3
frese,6.0,6.0,3
unai nunez,6.5,6.5,3
nelsson,6.0,6.0,3
belghali,6.0,6.0,3
bella-kotchap,6.0,6.0,3
gagliardini,6.0,6.0,3
akpa akpro,6.0,6.0,3
niasse,6.0,6.0,3
serdar,7.0,6.5,3
bernede,6.5,6.5,3
sarr a,6.0,6.0,3
orban g,6.0,6.0,3
giovane,6.0,5.5,3
zanetti,6.5,6.5,3
carnesecchi,7.0,10.0,4
zappacosta,6.5,6.5,4
djimsiti,6.0,6.0,4
bellanova,6.5,6.5,4
kossounou,6.0,6.0,4
hien,6.0,6.0,4
ahanor,6.5,6.5,4
de roon,6.5,6.5,4
pasalic,6.0,6.0,4
samardzic,7.0,8.0,4
sulemana k,7.5,11.5,4
krstovic,7.5,13.5,4
juric,7.5,7.5,4
skorupski,6.5,5.5,4
de silvestri,6.0,6.0,4
zortea,5.5,5.5,4
miranda j,5.5,5.5,4
vitik,6.0,6.0,4
heggem,6.0,6.0,4
